SG_UF;NM_MUNICIPIO;DS_CARGO;NR_CANDIDATO;NM_CANDIDATO;NM_URNA_CANDIDATO;NR_PARTIDO;SG_PARTIDO;NM_PARTIDO;DS_SIT_TOT_TURNO;NR_TURNO;QT_VOTOS_NOMINAIS;QT_VOTOS_NOMINAIS_VALIDOS;LATITUDE;LONGITUDE;COALITION
RR;ALTO ALEGRE;Prefeito;10;WAGNER DE OLIVEIRA NUNES;WAGNER NUNES;10;REPUBLICANOS;REPUBLICANOS;Eleito;1;6983;6983;2,990093;-61,308965;right
RR;ALTO ALEGRE;Prefeito;11;JOSE OTACI BARROSO DO NASCIMENTO;OTTACI;11;PP;PROGRESSISTAS;Não eleito;1;4114;4114;2,990093;-61,308965;center-right
GO;ANAPOLIS;Prefeito;22;MARCIO AURELIO CORREA;MARCIO CORREA;22;PL;Partido Liberal;2º Turno;1;97049;97049;-16,333283;-48,952576;right
GO;ANAPOLIS;Prefeito;13;ANTONIO ROBERTO OTONI GOMIDE;ANTONIO GOMIDE;13;PT;Partido dos Trabalhadores;2º Turno;1;69370;69370;-16,333283;-48,952576;center-left
GO;ANAPOLIS;Prefeito;44;EERIZANIA ENEAS DE FREITAS;EERIZANIA FREITAS;44;UNIO;Unio Brasil;Não eleito;1;21287;21287;-16,333283;-48,952576;center-right
GO;ANAPOLIS;Prefeito;45;HELIO JOSE LOPES;HELIO DA APAE;45;PSDB;Partido da Social Democracia Brasileira;Não eleito;1;4895;4895;-16,333283;-48,952576;center
GO;ANAPOLIS;Prefeito;35;JOSE RODRIGUES DE LIMA NETO;JOSE DE LIMA;35;PMB;Partido da Mulher Brasileira;Não eleito;1;3083;3083;-16,333283;-48,952576;center-right
GO;APARECIDA DE GOIANIA;Prefeito;15;LEANDRO VILELA VELLOSO;LEANDRO VILELA;15;MDB;Movimento Democrático Brasileiro;2º Turno;1;109793;109793;-16,822677;-49,245255;center
GO;APARECIDA DE GOIANIA;Prefeito;22;ALCIDES RIBEIRO FILHO;PROFESSOR ALCIDES;22;PL;Partido Liberal;2º Turno;1;98415;98415;-16,822677;-49,245255;right
GO;APARECIDA DE GOIANIA;Prefeito;40;WILLIAN RODRIGUES FIGUEIREDO;WILLIAN PANDA;40;PSB;Partido Socialista Brasileiro;Não eleito;1;20443;20443;-16,822677;-49,245255;center
AL;ARAPIRACA;Prefeito;15;JOSE LUCIANO BARBOSA DA SILVA;LUCIANO BARBOSA;15;MDB;Movimento Democrático Brasileiro;Eleito;1;100890;100890;-9,754866;-36,661471;center
AL;ARAPIRACA;Prefeito;22;FABIANA CAVALCANTE PESSOA;FABIANA PESSOA;22;PL;Partido Liberal;Não eleito;1;16635;16635;-9,754866;-36,661471;right
AL;ARAPIRACA;Prefeito;50;SILVIO CEZAR BALBINO DA SILVA;DR SILVIO CEZAR;50;PSOL;Partido Socialismo e Liberdade;Não eleito;1;583;583;-9,754866;-36,661471;left
AL;ARAPIRACA;Prefeito;45;LINDOMAR FERREIRA DE QUEIROZ;LINDOMAR FERREIRA;45;PSDB;Partido da Social Democracia Brasileira;Não eleito;1;536;536;-9,754866;-36,661471;center
RO;ARIQUEMES;Prefeito;44;CARLA GONCALVES REZENDE;CARLA REDANO;44;UNIO;Unio Brasil;Eleito;1;23816;23816;-9,907652;-63,033069;center-right
RO;ARIQUEMES;Prefeito;11;MARLEI MENEZES FEIER MEZZOMO;MARLEI MEZZOMO;11;PP;PROGRESSISTAS;Não eleito;1;23734;23734;-9,907652;-63,033069;center-right
RO;ARIQUEMES;Prefeito;15;AGNA MARIA DE SOUZA;AGNA SOUZA;15;MDB;Movimento Democrático Brasileiro;Não eleito;1;1485;1485;-9,907652;-63,033069;center
MA;BACABAL;Prefeito;15;JOSE ROBERTO COSTA SANTOS;ROBERTO COSTA;15;MDB;Movimento Democrático Brasileiro;Eleito;1;30790;30790;-4,231813;-44,781167;center
MA;BACABAL;Prefeito;44;ANTONIO MARCOS BEZERRA MIRANDA;MARCOS MIRANDA;44;UNIO;Unio Brasil;Não eleito;1;23278;23278;-4,231813;-44,781167;center-right
MA;BACABAL;Prefeito;30;PLINIO OLIVEIRA SILVA;PLINIO OLIVEIRA;30;NOVO;Partido Novo;Não eleito;1;1781;1781;-4,231813;-44,781167;right
MA;BACABAL;Prefeito;33;JOSE DE RIBAMAR JANSEN PENHA;JANSEN PENHA;33;MOBILIZA;Mobilização Nacional;Não eleito;1;59;59;-4,231813;-44,781167;center
MG;BELO HORIZONTE;Prefeito;22;BRUNO DE CASTRO ENGLER FLORENCIO DE ALMEIDA;BRUNO ENGLER;22;PL;Partido Liberal;2º Turno;1;435853;435853;-19,922732;-43,945095;right
MG;BELO HORIZONTE;Prefeito;55;FUAD JORGE NOMAN FILHO;FUAD NOMAN;55;PSD;Partido Social Democrático;2º Turno;1;336442;336442;-19,922732;-43,945095;center-right
MG;BELO HORIZONTE;Prefeito;10;MAURO HENRIQUE TRAMONTE;MAURO TRAMONTE;10;REPUBLICANOS;REPUBLICANOS;Não eleito;1;192991;192991;-19,922732;-43,945095;right
MG;BELO HORIZONTE;Prefeito;15;GABRIEL SOUSA MARQUES DE AZEVEDO;GABRIEL;15;MDB;Movimento Democrático Brasileiro;Não eleito;1;133728;133728;-19,922732;-43,945095;center
MG;BELO HORIZONTE;Prefeito;12;DUDA SALABERT ROSA;DUDA SALABERT;12;PDT;Partido Democrático Trabalhista;Não eleito;1;97315;97315;-19,922732;-43,945095;center-left
SC;BLUMENAU;Prefeito;22;EGIDIO MACIEL FERRARI;DELEGADO EGIDIO;22;PL;Partido Liberal;Eleito;1;95075;95075;-26,919557;-49,065802;right
SC;BLUMENAU;Prefeito;30;ODAIR TRAMONTIN;ODAIR TRAMONTIN;30;NOVO;Partido Novo;Não eleito;1;55968;55968;-26,919557;-49,065802;right
SC;BLUMENAU;Prefeito;13;ANA PAULA DE SOUZA LIMA;ANA PAULA LIMA;13;PT;Partido dos Trabalhadores;Não eleito;1;29071;29071;-26,919557;-49,065802;center-left
SC;BLUMENAU;Prefeito;20;RICARDO JOAO PELUSO ALBA;RICARDO ALBA;20;PODE;Podemos;Não eleito;1;3383;3383;-26,919557;-49,065802;center-right
SC;BLUMENAU;Prefeito;50;ROSANE MAGALY MARTINS;ROSANE;50;PSOL;Partido Socialismo e Liberdade;Não eleito;1;1490;1490;-26,919557;-49,065802;left
RR;BOA VISTA;Prefeito;15;ARTHUR HENRIQUE BRANDAO MACHADO;ARTHUR HENRIQUE;15;MDB;Movimento Democrático Brasileiro;Eleito;1;133180;133180;2,820848;-60,671958;center
RR;BOA VISTA;Prefeito;44;CATARINA DE LIMA GUERRA DA SILVA;CATARINA GUERRA;44;UNIO;Unio Brasil;Não eleito;1;40410;40410;2,820848;-60,671958;center-right
RR;BOA VISTA;Prefeito;43;MAURO NAKASHIMA DE MELO;MAURO NAKASHIMA;43;PV;Partido Verde;Não eleito;1;2066;2066;2,820848;-60,671958;center-left
ES;CACHOEIRO DE ITAPEMIRIM;Prefeito;11;THEODORICO DE ASSIS FERRACO;FERRACO;11;PP;PROGRESSISTAS;Eleito;1;44240;44240;-20,848084;-41,11129;center-right
ES;CACHOEIRO DE ITAPEMIRIM;Prefeito;22;LEONARDO CLEITON CAMARGO;LEO CAMARGO;22;PL;Partido Liberal;Não eleito;1;23861;23861;-20,848084;-41,11129;right
ES;CACHOEIRO DE ITAPEMIRIM;Prefeito;10;DIEGO LIBARDI;DIEGO LIBARDI;10;REPUBLICANOS;REPUBLICANOS;Não eleito;1;20030;20030;-20,848084;-41,11129;right
ES;CACHOEIRO DE ITAPEMIRIM;Prefeito;40;LORENA VASQUES SILVEIRA;LORENA VASQUES;40;PSB;Partido Socialista Brasileiro;Não eleito;1;11643;11643;-20,848084;-41,11129;center
ES;CACHOEIRO DE ITAPEMIRIM;Prefeito;13;CARLOS ROBERTO CASTEGLIONE DIAS;CASTEGLIONE;13;PT;Partido dos Trabalhadores;Não eleito;1;3578;3578;-20,848084;-41,11129;center-left
RO;CACOAL;Prefeito;55;ADAILTON ANTUNES FERREIRA;ADAILTON FURIA;55;PSD;Partido Social Democrático;Eleito;1;40270;40270;-11,4333;-61,44205;center-right
RO;CACOAL;Prefeito;22;CELSO DE OLIVEIRA SOUZA;CELSO POPO;22;PL;Partido Liberal;Não eleito;1;6225;6225;-11,4333;-61,44205;right
RO;CACOAL;Prefeito;12;ALMIR NARAYAMOGA SURUI;ALMIR SURUI;12;PDT;Partido Democrático Trabalhista;Não eleito;1;1929;1929;-11,4333;-61,44205;center-left
PB;CAMPINA GRANDE;Prefeito;44;BRUNO CUNHA LIMA BRANCO;BRUNO CUNHA LIMA;44;UNIO;Unio Brasil;2º Turno;1;110807;110807;-7,224674;-35,877129;center-right
PB;CAMPINA GRANDE;Prefeito;40;JHONY WESLLYS BEZERRA COSTA;DR JHONY;40;PSB;Partido Socialista Brasileiro;2º Turno;1;79471;79471;-7,224674;-35,877129;center
PB;CAMPINA GRANDE;Prefeito;65;INACIO JUSTINO FALCAO PEREIRA;INACIO FALCAO;65;PC DO B;Partido Comunista do Brasil;Não eleito;1;16448;16448;-7,224674;-35,877129;left
PB;CAMPINA GRANDE;Prefeito;30;JOSE ARTUR MELO DE ALMEIDA;ARTUR BOLINHA;30;NOVO;Partido Novo;Não eleito;1;16282;16282;-7,224674;-35,877129;right
PB;CAMPINA GRANDE;Prefeito;12;ANDRE RIBEIRO BARBOSA;ANDRE RIBEIRO;12;PDT;Partido Democrático Trabalhista;Não eleito;1;5386;5386;-7,224674;-35,877129;center-left
SP;CAMPINAS;Prefeito;10;DARIO JORGE GIOLO SAADI;DARIO SAADI;10;REPUBLICANOS;REPUBLICANOS;Eleito;1;355800;355800;-22,905639;-47,059564;right
SP;CAMPINAS;Prefeito;13;PEDRO TOURINHO DE SIQUEIRA;PEDRO TOURINHO;13;PT;Partido dos Trabalhadores;Não eleito;1;123500;123500;-22,905639;-47,059564;center-left
SP;CAMPINAS;Prefeito;23;RAFAEL FERNANDO ZIMBALDI;RAFA ZIMBALDI;23;CIDADANIA;Cidadania;Não eleito;1;42557;42557;-22,905639;-47,059564;center
SP;CAMPINAS;Prefeito;30;WILSON KELLER DE MATOS;WILSON MATOS;30;NOVO;Partido Novo;Não eleito;1;10013;10013;-22,905639;-47,059564;right
SP;CAMPINAS;Prefeito;29;ANGELINA DIAS DA SILVA;ANGELINA DIAS;29;PCO;Partido da Causa Operária;Não eleito;1;997;0;-22,905639;-47,059564;far-left
MS;CAMPO GRANDE;Prefeito;11;ADRIANE BARBOSA NOGUEIRA LOPES;ADRIANE LOPES;11;PP;PROGRESSISTAS;2º Turno;1;140913;140913;-20,464017;-54,616295;center-right
MS;CAMPO GRANDE;Prefeito;44;ROSIANE MODESTO DE OLIVEIRA;ROSE MODESTO;44;UNIO;Unio Brasil;2º Turno;1;131525;131525;-20,464017;-54,616295;center-right
MS;CAMPO GRANDE;Prefeito;45;HUMBERTO REZENDE PEREIRA;BETO PEREIRA;45;PSDB;Partido da Social Democracia Brasileira;Não eleito;1;115516;115516;-20,464017;-54,616295;center
MS;CAMPO GRANDE;Prefeito;13;CAMILA BAZACHI JARA MARZOCHI;CAMILA JARA;13;PT;Partido dos Trabalhadores;Não eleito;1;41966;41966;-20,464017;-54,616295;center-left
